24IN0001, 24RS0001, 160.00, 8.00, 152.00, 2024-07-25, Paid
24IN0002, 24RS0002, 510.00, 25.50, 484.50, 2024-07-25, Paid
24IN0003, 24RS0003, 375.00, 18.75, 356.25, 2024-07-25, Paid
24IN0004, 24RS0004, 850.00, 42.50, 807.50, 2024-07-25, Paid
24IN0005, 24RS0005, 1280.00, 64.00, 1216.00, 2024-07-25, Paid
24IN0006, 24RS0006, 2000.00, 100.00, 1900.00, 2024-07-26, Paid
24IN0007, 24RS0007, 2800.00, 140.00, 2660.00, 2024-07-27, Paid
24IN0008, 24RS0008, 375.00, 18.75, 356.25, 2024-07-30, Paid
24IN0009, 24RS0009, 480.00, 24.00, 456.00, 2024-07-30, Paid
24IN0010, 24RS0010, 625.00, 31.25, 593.75, 2024-07-30, Paid
24IN0011, 24RS0011, 1440.00, 72.00, 1368.00, 2024-07-31, Paid
24IN0012, 24RS0012, 1750.00, 87.50, 1662.50, 2024-08-05, Paid
24IN0013, 24RS0013, 500.00, 25.00, 475.00, 2024-08-05, Paid
24IN0014, 24RS0014, 850.00, 42.50, 807.50, 2024-08-06, Paid
24IN0015, 24RS0015, 500.00, 25.00, 475.00, 2024-08-10, Paid
24IN0016, 24RS0016, 625.00, 31.25, 593.75, 2024-09-01, Paid
24IN0017, 24RS0017, 2000.00, 100.00, 1900.00, 2024-09-05, Paid
24IN0018, 24RS0018, 250.00, 12.50, 237.50, 2024-09-08, Paid
24IN0019, 24RS0019, 500.00, 25.00, 475.00, 2024-09-08, Paid
24IN0020, 24RS0020, 800.00, 40.00, 760.00, 2024-09-10, Paid
24IN0021, 24RS0021, 250.00, 12.50, 237.50, 2024-09-11, Paid
24IN0022, 24RS0022, 875.00, 43.75, 831.25, 2024-09-11, Paid
24IN0023, 24RS0023, 1620.00, 81.00, 1539.00, 2024-09-21, Paid
24IN0024, 24RS0024, 720.00, 36.00, 684.00, 2024-09-21, Paid
24IN0025, 24RS0025, 625.00, 31.25, 593.75, 2024-09-21, Paid
24IN0026, 24RS0026, 1280.00, 64.00, 1216.00, 2024-09-22, Paid
24IN0027, 24RS0027, 2550.00, 127.50, 2422.50, 2024-09-25, Paid
24IN0028, 24RS0028, 1360.00, 68.00, 1292.00, 2024-09-27, Paid
24IN0029, 24RS0029, 1800.00, 90.00, 1710.00, 2024-09-29, Paid
24IN0030, 24RS0030, 640.00, 32.00, 608.00, 2024-10-01, Paid
24IN0031, 24RS0031, 960.00, 48.00, 912.00, 2024-10-01, Paid
24IN0032, 24RS0032, 320.00, 16.00, 304.00, 2024-10-01, Paid
24IN0033, 24RS0033, 1120.00, 56.00, 1064.00, 2024-10-01, Paid
24IN0034, 24RS0034, 1260.00, 63.00, 1197.00, 2024-10-02, Paid
24IN0035, 24RS0035, 250.00, 12.50, 237.50, 2024-10-04, Paid
24IN0036, 24RS0036, 850.00, 42.50, 807.50, 2024-10-05, Paid
24IN0037, 24RS0037, 680.00, 34.00, 646.00, 2024-10-08, Paid
24IN0038, 24RS0038, 1750.00, 87.50, 1662.50, 2024-10-13, Paid
24IN0039, 24RS0039, 1020.00, 51.00, 969.00, 2024-10-17, Paid
24IN0040, 24RS0040, 750.00, 37.50, 712.50, 2024-10-17, Paid
24IN0041, 24RS0041, 375.00, 18.75, 356.25, 2024-10-20, Paid
24IN0042, 24RS0042, 500.00, 25.00, 475.00, 2024-10-20, Paid
24IN0043, 24RS0043, 800.00, 40.00, 760.00, 2024-10-20, Paid
24IN0044, 24RS0044, 1600.00, 80.00, 1520.00, 2024-10-20, Paid
24IN0045, 24RS0045, 900.00, 45.00, 855.00, 2024-10-25, Paid
24IN0046, 24RS0046, 250.00, 12.50, 237.50, 2024-11-02, Paid
24IN0047, 24RS0047, 320.00, 16.00, 304.00, 2024-11-03, Paid
24IN0048, 24RS0048, 340.00, 17.00, 323.00, 2024-11-03, Paid
24IN0049, 24RS0049, 2800.00, 140.00, 2660.00, 2024-11-03, Paid
24IN0050, 24RS0050, 320.00, 16.00, 304.00, 2024-11-04, Paid
24IN0051, 24RS0051, 250.00, 12.50, 237.50, 2024-11-04, Paid
24IN0052, 24RS0052, 500.00, 25.00, 475.00, 2024-11-06, Paid
24IN0053, 24RS0053, 320.00, 16.00, 304.00, 2024-11-07, Paid
24IN0054, 24RS0054, 1080.00, 54.00, 1026.00, 2024-11-09, Paid
24IN0055, 24RS0055, 375.00, 18.75, 356.25, 2024-11-10, Paid
24IN0056, 24RS0056, 1250.00, 62.50, 1187.50, 2024-11-11, Paid
24IN0057, 24RS0057, 640.00, 32.00, 608.00, 2024-11-11, Paid
24IN0058, 24RS0058, 1190.00, 59.50, 1130.50, 2024-11-11, Paid
24IN0059, 24RS0059, 1530.00, 76.50, 1453.50, 2024-11-11, Paid
24IN0060, 24RS0060, 720.00, 36.00, 684.00, 2024-11-11, Paid
24IN0061, 24RS0061, 1800.00, 90.00, 1710.00, 2024-11-11, Paid
24IN0062, 24RS0062, 1000.00, 50.00, 950.00, 2024-11-12, Paid
24IN0063, 24RS0063, 1120.00, 56.00, 1064.00, 2024-11-15, Paid
24IN0064, 24RS0064, 1080.00, 54.00, 1026.00, 2024-11-19, Paid
24IN0065, 24RS0065, 640.00, 32.00, 608.00, 2024-11-19, Paid
24IN0066, 24RS0066, 1620.00, 81.00, 1539.00, 2024-11-20, Paid
24IN0067, 24RS0067, 1000.00, 50.00, 950.00, 2024-11-20, Paid
24IN0068, 24RS0068, 1280.00, 64.00, 1216.00, 2024-11-21, Paid
24IN0069, 24RS0069, 1440.00, 72.00, 1368.00, 2024-11-23, Paid
24IN0070, 24RS0070, 750.00, 37.50, 712.50, 2024-11-24, Paid
24IN0071, 24RS0071, 640.00, 32.00, 608.00, 2024-11-26, Paid
24IN0072, 24RS0072, 1260.00, 63.00, 1197.00, 2024-11-26, Paid
24IN0073, 24RS0073, 720.00, 36.00, 684.00, 2024-11-27, Paid
24IN0074, 24RS0074, 1000.00, 50.00, 950.00, 2024-11-27, Paid
24IN0075, 24RS0075, 2340.00, 117.00, 2223.00, 2024-11-27, Paid
24IN0076, 24RS0076, 500.00, 25.00, 475.00, 2024-11-28, Paid
24IN0077, 24RS0077, 1375.00, 68.75, 1306.25, 2024-11-28, Paid
24IN0078, 24RS0078, 625.00, 31.25, 593.75, 2024-11-28, Paid
24IN0079, 24RS0079, 1120.00, 56.00, 1064.00, 2024-11-28, Paid
24IN0080, 24RS0080, 1125.00, 56.25, 1068.75, 2024-11-28, Paid
24IN0081, 24RS0081, 1920.00, 96.00, 1824.00, 2024-11-28, Paid
24IN0082, 24RS0082, 1120.00, 56.00, 1064.00, 2024-11-28, Paid
24IN0083, 24RS0083, 1190.00, 59.50, 1130.50, 2024-11-28, Paid
24IN0084, 24RS0084, 1750.00, 87.50, 1662.50, 2024-11-28, Paid
24IN0085, 24RS0085, 680.00, 34.00, 646.00, 2024-11-30, Paid
24IN0086, 24RS0086, 1200.00, 60.00, 1140.00, 2024-11-30, Paid
